Strategy,Steps_to_50%_LCC,Steps_to_50%_Efficiency,AUC_LCC,AUC_Efficiency,Avg_LCC_Reduction_Rate
Betweenness (SEAL),81.0,36.0,78.76315789473685,56.22392105166224,0.012345679012345678
Betweenness (Original),82.0,42.0,82.02493074792244,54.695281132327665,0.012195121951219513
Degree (Original),98.0,57.0,98.6343490304709,65.30778378199976,0.01020408163265306
Degree (SEAL),98.0,32.0,98.6343490304709,57.143995609927586,0.01020408163265306
Closeness (Original),105.0,58.0,99.59141274238226,70.4703065482062,0.009523809523809525
MO-Based (Original),105.0,68.0,93.0415512465374,79.15994590861871,0.009523809523809525
Closeness (SEAL),105.0,66.0,99.59141274238226,68.23630795414877,0.009523809523809525
MO-Based (SEAL),108.0,81.0,97.15235457063713,74.56354998090681,0.009259259259259259
Random (Original),151.0,151.0,118.23407202216066,128.07782596232147,0.006622516556291391
Random (SEAL),151.0,151.0,114.80609418282546,138.89819778168948,0.006622516556291391
