incident_id,person_id,date,crime_type,modus_operandi,severity,location,persons_involved,description
0,93,2021-07-07,Logistics,Enabler,Low,City_7,93;368;41;8,Logistics operation led by Enabler
1,345,2020-04-09,Intimidation,Peripheral,Medium,City_4,345;160,Intimidation operation led by Peripheral
2,346,2023-02-16,Illegal Contracts,Broker,Low,City_6,346;124,Illegal Contracts operation led by Broker
3,213,2024-01-31,Document Forgery,Enabler,Severe,City_2,213;216,Document Forgery operation led by Enabler
4,256,2021-11-20,Weapons Supply,Enabler,High,City_7,256;279,Weapons Supply operation led by Enabler
5,57,2020-11-03,Intimidation,Peripheral,Medium,City_7,57;264;193,Intimidation operation led by Peripheral
6,209,2022-05-17,Drug Trafficking,Enabler,High,City_7,209;147,Drug Trafficking operation led by Enabler
7,190,2021-10-22,Arson,Peripheral,Medium,City_7,190;276;288,Arson operation led by Peripheral
8,58,2022-06-06,Collection,Peripheral,Medium,City_7,58;206;68,Collection operation led by Peripheral
9,333,2023-11-05,Logistics,Enabler,Severe,City_10,333;279;368,Logistics operation led by Enabler
10,294,2024-02-12,Money Laundering,Coordinator,High,City_3,294;50;144;252;136,Money Laundering operation led by Coordinator
11,327,2024-11-03,Extortion,Broker,Medium,City_6,327;398;218;392;223,Extortion operation led by Broker
12,13,2021-08-25,Robbery,Peripheral,Low,City_2,13;393;193;5;369,Robbery operation led by Peripheral
13,153,2021-04-27,Resource Distribution,Broker,Medium,City_10,153;361,Resource Distribution operation led by Broker
14,142,2020-04-09,Robbery,Peripheral,Low,City_2,142;84;302;330,Robbery operation led by Peripheral
15,44,2024-11-23,Weapons Supply,Enabler,High,City_5,44;235,Weapons Supply operation led by Enabler
16,27,2020-01-03,Drug Trafficking,Enabler,High,City_4,27;239;15,Drug Trafficking operation led by Enabler
17,194,2024-06-05,Arson,Peripheral,Severe,City_2,194;71;229;34,Arson operation led by Peripheral
18,347,2021-04-04,Drug Trafficking,Enabler,Low,City_3,347;289,Drug Trafficking operation led by Enabler
19,61,2023-02-26,Territory Control,Coordinator,Medium,City_5,61;234;80;377;15,Territory Control operation led by Coordinator
20,186,2020-11-28,Document Forgery,Enabler,Severe,City_10,186;101;86,Document Forgery operation led by Enabler
21,233,2023-09-22,Corruption,Coordinator,Medium,City_1,233;144;148,Corruption operation led by Coordinator
22,42,2020-05-28,Arson,Peripheral,High,City_4,42;71;335,Arson operation led by Peripheral
23,301,2020-04-08,Collection,Peripheral,Low,City_8,301;220;208;347,Collection operation led by Peripheral
24,61,2020-03-31,Territory Control,Coordinator,High,City_6,61;245,Territory Control operation led by Coordinator
25,9,2020-06-03,Illegal Contracts,Broker,Low,City_3,9;244,Illegal Contracts operation led by Broker
26,66,2020-01-03,Money Laundering,Coordinator,Severe,City_2,66;30,Money Laundering operation led by Coordinator
27,249,2024-12-02,Drug Trafficking,Enabler,Severe,City_9,249;344;206,Drug Trafficking operation led by Enabler
28,81,2023-10-03,Strategic Planning,Coordinator,High,City_7,81;286;213;66,Strategic Planning operation led by Coordinator
29,72,2024-02-19,Coordination,Broker,Medium,City_8,72;77;143;276,Coordination operation led by Broker
30,2,2022-11-02,Corruption,Coordinator,Medium,City_10,2;380;213;189,Corruption operation led by Coordinator
31,351,2024-09-03,Extortion,Broker,High,City_2,351;45;233,Extortion operation led by Broker
32,97,2021-03-09,Illegal Contracts,Broker,High,City_9,97;30;149;214;297,Illegal Contracts operation led by Broker
33,399,2021-02-12,Territory Control,Coordinator,Low,City_2,399;381;85;73,Territory Control operation led by Coordinator
34,112,2020-09-13,Drug Trafficking,Enabler,Low,City_1,112;89,Drug Trafficking operation led by Enabler
35,338,2022-03-24,Weapons Supply,Enabler,Low,City_5,338;237;228;317,Weapons Supply operation led by Enabler
36,50,2023-05-08,Strategic Planning,Coordinator,Severe,City_10,50;81;377;280,Strategic Planning operation led by Coordinator
37,210,2022-07-20,Document Forgery,Enabler,Low,City_7,210;139,Document Forgery operation led by Enabler
38,173,2024-01-20,Extortion,Broker,High,City_7,173;373;207;339,Extortion operation led by Broker
39,104,2023-06-02,Weapons Supply,Enabler,Low,City_7,104;289;325,Weapons Supply operation led by Enabler
40,16,2023-11-28,Weapons Supply,Enabler,High,City_3,16;302;364;25;306,Weapons Supply operation led by Enabler
41,0,2022-04-23,Arson,Peripheral,Low,City_3,0;70;21,Arson operation led by Peripheral
42,224,2022-12-17,Strategic Planning,Coordinator,Severe,City_4,224;219,Strategic Planning operation led by Coordinator
43,31,2023-02-06,Extortion,Broker,Low,City_5,31;167,Extortion operation led by Broker
44,25,2023-05-24,Intimidation,Peripheral,High,City_9,25;336,Intimidation operation led by Peripheral
45,37,2020-12-25,Drug Trafficking,Enabler,High,City_3,37;361;169;105;353,Drug Trafficking operation led by Enabler
46,181,2023-07-05,Robbery,Peripheral,Medium,City_6,181;179;378;145;74,Robbery operation led by Peripheral
47,228,2024-12-10,Drug Trafficking,Enabler,High,City_9,228;336;265;366,Drug Trafficking operation led by Enabler
48,395,2024-02-01,Intimidation,Peripheral,Medium,City_1,395;323;347;283;165,Intimidation operation led by Peripheral
49,257,2020-01-22,Intimidation,Peripheral,Severe,City_1,257;281;274;288;225,Intimidation operation led by Peripheral
50,381,2023-05-24,Document Forgery,Enabler,High,City_6,381;49;322;341;155,Document Forgery operation led by Enabler
51,81,2023-07-15,Strategic Planning,Coordinator,High,City_7,81;213;153;247,Strategic Planning operation led by Coordinator
52,139,2022-05-19,Illegal Contracts,Broker,Medium,City_4,139;94;260,Illegal Contracts operation led by Broker
53,263,2022-11-24,Strategic Planning,Coordinator,Medium,City_8,263;72;220;351;313,Strategic Planning operation led by Coordinator
