person_id,degree,degree_centrality,betweenness,closeness,eigenvector,clustering_coef,core_number,load_centrality,betweenness_norm,ego_density,ego_nodes,participation_coef,cross_community_edges,within_module_z,incident_count,crime_diversity,avg_severity,coordinator_interactions,broker_interactions,enabler_interactions,peripheral_interactions,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127,is_bridge,incident_bridges,constraint,predicted_role,mo_importance_score
0,2,0.005012531328320802,7.123852667359677e-05,0.21243429043504772,0.0067323666901087115,0.0,2,6.940858567412389e-05,5.656410256410257,0.6666666666666666,3,0.0,0,-0.5962694212601098,9,7,2.5555555555555554,0,4,2,3,-0.26282766,0.36899433,0.0336386,0.6050718,0.1316345,0.29086295,-0.2600903,0.0065333056,-0.3400206,-0.14408927,0.0878612,0.09522325,-0.16832547,-0.030307522,0.29841572,0.39298254,-0.7335484,-0.24652392,0.26552573,0.21326622,-0.08200519,0.34295487,-0.22224474,-0.014660979,0.2388691,-0.11540288,0.2114333,-0.4783445,-0.44616908,-0.2702117,-0.01649056,0.12383663,0.1814495,0.18156023,-0.45957625,0.34472606,0.16856326,0.0674106,0.09279878,0.43747318,-0.042882256,0.28186986,-0.33750838,-0.01673823,0.27321896,0.10289951,-0.049642883,0.33933032,0.02258427,-0.25228754,0.3371178,0.19098915,0.0005133759,0.14439723,0.07675895,0.32077646,-0.0017287551,-0.29302981,-0.60085243,0.23148967,-0.23233823,-0.10136018,0.29021174,0.4475946,-0.16390419,-0.012767935,-0.06348088,0.17857447,-0.22932346,-0.15915969,-0.263499,-0.5202307,-0.11102551,-0.14011483,-0.31506,-0.23301835,0.13712037,-0.085719,-0.06089133,0.2698369,-0.27999103,-0.18551113,-0.32153952,0.3062473,0.07373565,0.26213345,-0.19615993,0.43623623,0.31653172,-0.29084188,0.056569792,0.1710879,0.07983488,0.082745075,0.31001666,0.20467646,-0.46544132,0.07988393,-0.2336295,-0.107553214,0.011111132,0.26605812,0.5133007,-0.15174404,-0.021474719,-0.35522836,0.48427793,0.21112207,-0.06476609,-0.32205254,-0.088618405,-0.10642253,0.18072551,-0.09635093,0.073421136,-0.07605227,-0.2244662,-0.13816564,-0.213784,-0.04570902,-0.2376166,-0.19048233,0.008329597,0.30442968,-0.1245843,-0.21522379,0.0019355926,-0.16834067,0,0,0,Peripheral,0.011069866653629993
1,15,0.03759398496240601,0.01402420480889714,0.28668316864535565,0.12505564493373622,0.06666666666666667,10,0.01109830066309983,1113.535886031242,0.18333333333333332,16,0.12888888888888883,1,0.9977774737669175,15,7,3.066666666666667,5,9,1,0,-0.024446577,0.13055563,-0.12634252,0.32837284,0.25243893,0.056010984,-0.1525026,-0.08128997,-0.058741093,0.26282233,0.09485472,-0.02254316,-0.106784776,-0.09493055,0.45499948,0.16007993,-0.27007797,0.06829812,0.22081593,0.16961904,0.097675815,-0.072806835,0.072751775,-0.047960736,-0.35866374,0.1573502,0.15003626,-0.32873848,-0.25442627,-0.06516477,-0.014940141,-0.07534586,-0.23877257,0.14300106,-0.13193329,0.2082187,0.25529805,0.14536412,0.054688606,0.24627633,-0.026740743,0.18860959,-0.2418458,-0.23001108,-0.06099254,-0.09774178,0.006416293,0.15560594,-0.05332101,-0.13002685,0.092099525,-0.1377172,0.05172884,0.17012277,-0.02935527,0.04007857,0.054980077,-0.034227464,-0.14286818,0.22278102,-0.2078551,0.038220823,0.20714757,0.30402088,-0.011008549,0.008401131,0.04378887,0.0552074,0.11173648,-0.20814298,-0.05057711,-0.19583577,-0.07057249,0.13455032,-0.10419908,-0.21039917,-0.09228246,-0.025370065,-0.0751924,-0.098783955,0.049075905,0.06173511,0.028997274,-0.03495806,0.1944873,-0.14319295,0.10033647,-0.019815693,0.23927818,-0.027580587,0.11675696,0.088279516,0.2596967,-0.04527107,0.1079524,0.041924506,-0.23289356,0.061280526,-0.14093745,-0.22652414,-0.09772907,0.11632762,-0.18315615,-0.023095459,-0.13684057,-0.12269072,0.2543605,0.07386463,0.33108273,-0.14595361,0.13392451,-0.15049286,0.08662861,-0.061875008,0.047918197,-0.116795614,-0.2800471,0.08509111,-0.032029625,-0.12127459,-0.026958736,0.0047867275,-0.0068096877,0.021712705,-0.13964091,0.12467762,-0.12623739,-0.05579547,0,0,0,Broker,1.0
2,26,0.06516290726817042,0.03075308356616295,0.31938252711424575,0.1674009242443859,0.018461538461538463,10,0.032090259957706785,2441.8255882369044,0.09116809116809117,27,0.2174556213017752,3,2.193312645037188,15,4,2.6666666666666665,15,0,0,0,0.10944969,0.09372955,0.011334196,0.36363563,0.087536365,0.16451608,-0.10843525,-0.023072427,-0.051617417,0.18941693,0.17910022,0.05071696,-0.024945272,-0.31673217,0.24874014,0.14899434,-0.0868536,0.032399908,0.11461624,0.15483199,-0.0100783715,-0.13594997,-0.12637316,0.17682739,-0.044514094,0.0511558,-0.20680329,-0.1438489,-0.057571847,-0.106779456,0.18281434,-0.001585397,-0.16850074,0.118760385,-0.17646527,0.27791795,0.12522732,-0.09802624,0.25085598,0.12879683,-0.005716528,0.29665875,-0.15591998,-0.14175414,0.116492644,0.0127714,0.0558159,-0.039252453,-0.0774271,-0.100959525,0.10893144,-0.12350393,-0.15486844,0.14221573,0.0041673365,0.1377722,-0.11457933,-0.12206078,-0.2669154,0.20703226,-0.07876143,0.010710464,0.26642895,0.13646014,-0.013753172,-0.013156746,0.17349343,0.18597089,-0.02166404,-0.09979158,-0.035616707,-0.23498426,-0.07537613,0.104464024,0.039303523,-0.28408843,-0.019349493,-0.014357324,0.088187195,0.014211951,-0.12829396,-0.22473702,-0.05706073,0.01579118,0.06951551,0.16864035,0.11014727,0.03355617,0.0574381,-0.023176664,-0.034637213,-0.012598067,-0.10885118,0.0013542422,0.15635714,-0.016294459,-0.031269528,0.2988296,0.16545776,-0.3319359,0.052666605,0.017947622,-0.26713952,0.08410481,-0.2132175,0.0366589,0.07190946,0.038320675,0.21526434,-0.25980473,0.16800171,-0.11326041,-0.023718074,-0.25461224,0.0589763,0.013093402,-0.120215625,-0.10809887,0.21074192,-0.07584803,-0.40548715,-0.04392302,0.09807034,-0.052991387,-0.26449445,-0.023473319,0.015154064,-0.0913138,0,0,0,Coordinator,1.0
3,29,0.07268170426065163,0.049790244227341095,0.31504561597981373,0.19473504100797628,0.03940886699507389,10,0.04162209894292564,3953.3951818951105,0.10344827586206896,30,0.3151010701545779,5,2.32614988628944,18,7,3.111111111111111,14,4,0,0,-0.061598837,0.18119487,-0.17792618,0.20809534,0.19559269,0.10399662,-0.06321054,-0.046245817,-0.05472482,0.25354472,0.10753197,-0.017381866,0.069325075,-0.19957364,0.12276706,0.11664288,-0.11700772,-0.045754556,-0.002308853,0.19187011,0.098074414,-0.056203373,0.122623675,-0.05863639,-0.44966176,0.018399645,-0.12412864,-0.12757102,-0.14547028,-0.1074282,0.17973925,-0.026146647,-0.22618967,0.008485398,-0.17334445,0.29873306,0.08064377,0.016044589,0.22986986,0.21353553,-0.00543684,0.05052607,-0.119449355,-0.17824566,-0.017744565,0.120511964,-0.1402239,-0.038332183,0.07347918,-0.10723309,0.07302606,-0.045047887,0.030912798,-0.07395896,-0.03665947,0.078748934,-0.084286146,0.118955016,-0.05919087,0.24558909,-0.20087697,-0.10077588,0.20010135,0.29318076,0.023193412,0.19575055,-0.031070799,0.08479968,-0.06286189,-0.07136672,-0.024821742,-0.12264047,-0.030441351,-0.01973607,-0.033835057,-0.13209356,-0.05135057,0.03681448,0.23674095,-0.075174734,-0.007914835,-0.1981317,-0.07516576,0.08118246,-0.007290194,0.06268534,0.12508713,-0.21077794,0.12227449,-0.09978541,0.087159164,0.06799659,0.21182725,0.06847597,-0.058134742,0.018142056,-0.07578056,-0.05142747,-0.07344081,-0.36150312,-0.02461808,0.050589245,-0.028046379,0.13140634,-0.09576408,-0.19107111,0.007998101,0.10126869,0.16584274,-0.18539739,-0.02778853,0.15012673,0.10176677,-0.1811001,0.13765752,-0.001332591,-0.20060714,0.090873,0.016136216,-0.0429624,-0.1476564,-0.15525271,0.019712795,-0.043415442,-0.23826739,-0.056877583,0.07900575,-0.04388922,0,0,0,Peripheral,0.14412653511982976
4,8,0.020050125313283207,0.003435359666728272,0.26689566974132123,0.04689455290242556,0.21428571428571427,5,0.0067114024138801446,272.7709928978915,0.3888888888888889,9,0.0,0,0.20075402625340386,16,10,2.0,2,5,6,3,-0.3286831,-0.036151484,-0.03887063,0.34544736,0.20935509,0.054527946,-0.57515347,-0.04652501,0.027942434,0.22509438,0.0021649962,-0.23992339,-0.14807844,-0.057783592,0.05426865,-0.15195659,-0.21274039,-0.042601243,0.07657734,0.44961149,0.09157875,0.2012208,-0.058098793,0.08586975,-0.23715645,-0.15499559,-0.22940584,-0.35601643,-0.00751967,-0.038121603,0.03317563,0.09221911,-0.018215789,0.36728385,-0.078421906,0.02730066,0.15388377,0.06901559,0.093420036,0.30979252,0.03326558,0.3384587,-0.23423065,0.026733855,0.09387601,0.08415338,0.0649943,0.1916264,-0.10086015,-0.07908434,0.34663394,-0.4234842,0.05827735,-0.2682624,0.005839951,0.36803403,-0.17694218,0.073962905,-0.47707662,0.19433475,-0.16387676,-0.05983325,-0.16669163,0.533042,-0.056044046,0.10346461,0.051832523,0.15632409,0.11367901,-0.1668061,0.06770647,-0.22471629,-0.17066412,-0.055108085,0.22361758,-0.19578512,-0.0138950115,-0.0027412246,0.23301917,-0.046266288,0.1551795,-0.3493399,0.3093257,0.16783065,0.3370325,-0.08778173,-0.23708862,0.06444399,0.15355864,0.09642913,0.036567856,0.3295677,0.03730287,-0.14383987,0.21166666,-0.085638754,0.038106237,0.07583669,0.27306968,-0.09982926,0.08181575,0.041036014,-0.24468449,0.028886648,-0.072701305,0.01706014,0.11494534,-0.044089604,0.42082718,-0.06246079,0.13307385,-0.049624756,0.14356144,-0.35275862,0.09063901,0.044500187,-0.085253075,-0.19191912,0.40072614,-0.039788734,-0.316735,-0.13826314,0.17888553,0.19813861,-0.17569755,0.011545799,0.11346922,-0.17473802,0,0,0,Peripheral,0.038811551106003
5,3,0.007518796992481203,0.002612057782647574,0.20544720434863248,0.004132674798742049,0.0,2,0.004729159582373018,207.40000000000003,0.5,4,0.0,0,-0.4634321800078576,10,5,1.5,0,2,1,7,0.15162309,0.17177616,-0.20478027,0.35179073,-0.080083415,0.118657954,-0.06251746,-0.16055183,0.27338168,0.29580387,-0.2339668,-0.13553809,-0.016499547,-0.08124871,0.43275604,0.25031477,-0.870266,0.045201574,0.15777032,0.5794202,-0.11079831,0.0560512,-0.04135863,-0.08302665,0.07328497,-0.035215676,0.14326642,-0.17641933,0.21755555,-0.3217737,0.41134933,-0.23783356,-0.11425241,-0.063346624,0.0826201,-0.005834227,0.3224137,-0.105672866,0.48780987,0.15822229,-0.18710618,0.14458789,0.14202532,-0.4574183,0.1745643,-0.26896083,0.17904751,-0.25210118,-0.23482272,0.3402954,0.051227648,-0.30472386,-0.1008373,-0.15273806,0.08581485,0.2702507,-0.1414326,0.29625675,-0.635964,0.12784784,-0.22743358,0.15689994,-0.19590096,0.10015847,0.099665426,0.16644552,0.16905831,0.2621245,0.03213223,-0.022992846,-0.16902609,-0.59589756,0.10900273,-0.114551514,0.2916254,0.1134024,-0.26792243,0.037645075,0.25580826,-0.040540814,-0.04232707,-0.19787377,-0.39167854,0.17294075,-0.032866973,-0.19596559,0.26836687,0.24996983,0.59959525,0.19777022,0.29165646,0.1784488,0.31001833,-0.3363542,-0.047615964,0.22144541,0.15607171,0.021527251,-0.2977545,-0.30623156,-0.23260832,0.04083125,-0.38568044,-0.19307576,0.45504668,0.05455636,-0.24139039,0.29175994,0.5612009,-0.17946588,-0.16546261,-0.21823327,0.3818264,-0.24356525,0.41839072,0.24091525,-0.41277412,-0.34773126,0.47472778,0.14821962,-0.32950383,0.30235773,0.6333985,0.04129686,-0.26532564,0.09165511,0.18255381,0.14291888,1,1,0,Peripheral,0.02567403415797771
6,1,0.002506265664160401,0.0,0.1997613961102017,0.0028459276729731284,0.0,1,0.0,0.0,1.0,2,0.0,0,-0.7291066625123621,12,7,2.4166666666666665,0,6,4,2,0.003151881,0.17343712,0.3034005,0.2888791,0.04378186,0.128332,-0.20129277,-0.112028904,-0.19118038,-0.00011918119,0.19653147,-0.16936481,0.21205486,0.0067801476,0.17199968,0.23241957,-0.24710022,0.289175,0.051009733,0.101406164,-0.18510057,0.29635155,0.06383858,-0.49789998,-0.5189365,0.113488205,-0.10246362,-0.020997865,-0.3272122,-0.023220247,0.20874883,-0.18623,-0.0693729,0.32428256,0.2499738,-0.16250303,0.2080155,0.07770355,-0.15883946,0.54129803,0.1137779,0.2731498,0.028848644,-0.4353807,0.018819874,0.22073424,-0.2532672,0.11855402,-0.24497382,-0.1424126,0.045511216,-0.10065203,-0.2278616,0.1737561,-0.36942858,0.11784967,0.0075236177,-0.029060213,-0.033448536,0.3271457,-0.10949213,-0.11831841,0.029390518,0.35943872,-0.017673694,0.46526596,0.4496593,-0.17527057,-0.03121709,5.6819546e-05,-0.024741279,-0.36876652,-0.2377442,0.14388017,0.12679538,-0.16088177,-0.1576922,-0.47372463,-0.04157643,-0.37179875,-0.19123444,-0.77396595,-0.19012226,0.20470363,-0.11134584,0.2103519,0.15243064,-0.3015235,0.20637508,-0.23410577,0.29150695,-0.097777046,0.29526743,0.02262278,0.21231459,0.2959083,0.102560006,-0.12556662,0.33390746,-0.8655572,0.39688733,-0.0135086365,0.21078007,0.46076167,0.114585884,-0.56393576,-0.09533047,-0.041551556,0.067808375,-0.3982997,0.16472155,0.17861539,-0.21833387,-0.22896013,0.19097933,0.48565015,-0.45969313,0.39672816,0.10103031,-0.6454025,0.16985196,-0.09499983,0.12014602,0.18785381,-0.33546275,-0.04133157,0.17656597,-0.05770947,1,1,0,Peripheral,0.017944878387809556
7,2,0.005012531328320802,4.905092426405729e-05,0.20888233445349708,0.004989146686003039,0.0,2,0.00010323009624025982,3.8946924374904133,0.6666666666666666,3,0.0,0,-0.5962694212601098,11,7,2.090909090909091,0,3,2,6,-0.34167776,-0.25328952,0.18153413,0.212728,0.28060505,-0.20560156,-0.10952742,-0.15769777,0.17522797,0.098059,0.34288913,0.55655,0.24227682,-0.32115337,0.5571354,0.6813081,-0.16187096,0.2079412,0.1217469,0.25525555,-0.30943686,-0.04167054,0.12296387,0.3704614,0.0067848633,0.21316566,0.028517697,0.031045405,-0.06299104,0.003290892,0.25928134,-0.19872509,0.080332406,0.19814545,-0.38596672,0.07132527,0.1388363,0.285823,8.267182e-05,0.05617614,0.12502177,0.36816865,-0.07378509,-0.50837153,0.22710404,-0.16334487,-0.031378146,0.020518117,-0.31115708,-0.021079268,0.43348905,-0.43304083,-0.02436607,-0.004317387,0.03494511,0.17069644,-0.1273172,-0.4819229,-0.22899532,0.2544408,-0.22091426,0.27327883,0.3035898,0.13277823,-0.33046713,0.12412905,-0.28357014,-0.27645364,0.17983174,-0.093982376,0.2771764,-0.36871293,-0.38263017,0.024789799,-0.029677086,-0.100205146,0.1774665,0.2393466,0.11482326,-0.14994971,0.13254493,-0.01825489,-0.01711023,0.29347214,-0.42316914,0.10840927,0.10179277,0.14996754,0.122992605,-0.23159185,-0.3058444,-0.16306534,0.1333012,0.03787672,0.4959821,-0.044470347,-0.38972905,0.34270576,0.26460955,-0.4872353,-0.143278,-0.48531583,-0.07695723,0.3568717,-0.09264557,0.16120203,0.04083427,-0.035322294,0.55697006,-0.1971792,-0.040817045,-0.40192142,0.08358406,-0.2701494,0.115230195,-0.0005005565,-0.14570439,-0.3018605,0.109299794,-0.3488811,-0.61409765,0.083329685,0.33483395,-0.10029685,-0.2208417,0.29799813,0.12003816,0.028025368,0,0,0,Peripheral,0.010791938495908171
8,0,0.0,0.0,0.0,7.590317288714358e-60,0.0,0,0.0,0.0,0.0,1,0.0,0,0.0,5,5,2.6,0,2,1,2,0.003646575,0.0034739934,-0.003353512,-0.0026614312,0.0045080837,-0.0046468684,0.0032509426,-0.004440006,0.00079680886,-0.0040397774,-0.0047708517,-0.0032694107,0.007762545,0.0013130223,0.0028218506,-0.0052264873,0.005204456,0.0022463826,-0.004034465,0.0019556526,-0.0077923704,0.0017986828,-0.0028255796,-0.0007155016,-0.005949013,6.8196096e-05,0.0076639,0.0047319653,-0.0042970004,0.006388273,-0.005037248,0.007795766,0.0034763068,0.0068071084,0.004178917,-0.0038179234,-0.00278165,-0.0009695357,-0.00023665093,-0.0064254953,-0.0064104227,0.0017718012,-0.0012929142,0.005274087,-0.0054681497,0.0053417003,-0.0065328646,0.0034006545,0.005214175,0.0032289512,0.0075389594,0.007704677,0.0068481145,0.0018861592,0.0072123287,-0.0032656612,-0.0010787137,0.006160929,-0.002091947,0.0037940182,0.004532706,0.0021883454,0.0022140313,-0.0038900273,0.00020972919,-0.0011155996,0.00041672774,0.0021480564,-0.0037583644,-0.0005212752,0.005034459,-0.0011149244,-0.0006174585,-0.0077094072,0.004882914,0.0032527,0.00165495,0.00657411,0.0029766066,0.0055850456,0.00011671055,-0.0063108997,0.0018941732,0.0017721262,-0.000965748,0.0069269976,-0.004931216,0.006072156,-0.0042347107,0.0019324329,-0.003215746,-0.006756262,0.0072749723,0.005073162,-7.1618706e-05,0.0039707012,-0.0025770413,0.005033468,0.0018532807,0.0015274184,-0.0062611625,0.0067020776,0.0025462173,-0.0034432681,0.0057543907,0.0031921687,-0.0077014705,0.002208123,0.0037225634,0.0041737743,0.00244804,-0.005449795,-0.0026692366,-0.004620444,-0.003976116,0.0028979145,0.003339897,0.0014215745,0.006455997,0.0076121567,0.0046744635,-0.0033314507,-0.006545414,-0.00016559567,-0.0016003931,0.002361672,0.0068854215,-0.0072427,0,0,0,Peripheral,0.0
9,14,0.03508771929824561,0.004362241446166525,0.28097926477092383,0.12270311138051365,0.15384615384615385,10,0.0033290599150030925,346.36633306706824,0.26666666666666666,15,0.0,0,0.9977774737669175,11,6,2.5454545454545454,4,7,0,0,-0.1422483,0.08908077,-0.15177885,0.17897011,0.3115316,0.11546199,-0.037338782,-0.017274352,0.09019944,0.19801645,-0.030393936,0.09407882,-0.13792312,-0.11891618,0.45905504,0.1283157,-0.24709138,0.069692604,0.15372805,0.10639687,0.037719198,-0.048268646,0.1406664,0.012262693,-0.33666167,-0.010263904,0.10677759,-0.2317799,0.098314375,-0.20418249,0.14199941,-0.22997929,-0.17882988,0.24112484,-0.11898806,0.16320167,0.20840228,0.095733285,-0.019347765,0.09753828,-0.12331206,0.22980858,-0.22704169,-0.09316077,0.09088315,-0.12359114,-0.054496292,0.022561574,-0.035646867,0.0314313,-0.011667256,-0.0032440529,0.01256023,0.0584654,-0.19947425,0.06646807,0.17727041,-0.27259725,-0.11242066,0.10745827,-0.26972502,0.07324695,0.18742688,0.22276321,0.030938247,0.13754408,-0.012138961,-0.03322226,-0.11159219,-0.24466705,-0.0005547104,-0.23524642,-0.05036166,-0.10191319,0.004075398,-0.32822728,0.11472338,-0.123513795,0.03185643,-0.14487398,0.043412406,-0.26936257,0.04186148,0.004450874,0.05720922,0.009220909,0.03711835,-0.06599792,0.2620959,0.005777289,0.111439794,0.22397363,0.18314679,0.07362551,0.10124901,0.03186809,-0.024198316,0.19152541,0.09083235,-0.23490345,-0.0010134359,-0.09814518,-0.28585425,0.039364103,0.10090546,0.06574234,0.123234555,-0.17540085,0.08397007,-0.1763509,-0.0399415,0.0009814962,0.07252028,-0.20750672,0.07907349,0.08007035,-0.1624676,0.056171097,0.079662204,0.06374025,-0.24338366,-0.061732784,0.16829352,0.13141993,-0.27223834,-0.09338238,0.05364465,-0.10041203,0,0,0,Broker,0.917025916233819
