person_id,degree,degree_centrality,betweenness,closeness,eigenvector,clustering_coef,core_number,load_centrality,betweenness_norm,ego_density,ego_nodes,participation_coef,cross_community_edges,within_module_z,incident_count,crime_diversity,avg_severity,coordinator_interactions,broker_interactions,enabler_interactions,peripheral_interactions,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,is_bridge,incident_bridges,constraint,true_role,predicted_role,mo_importance_score
0,2,0.005012531328320802,6.0258880676759564e-05,0.21243429043504772,0.0067323666901087115,0.0,2,6.940858567412389e-05,4.784615384615386,0.6666666666666666,3,0.0,0,-0.5962694212601098,9,7,2.5555555555555554,0,4,2,3,0.05140592,-0.14623402,-0.5156574,0.0606565,0.042109236,-0.1030249,0.15757163,-0.16156927,-0.4069623,-0.998876,0.51119494,0.006020639,-0.14070727,0.020836227,-0.021297043,-0.07597719,-0.09612477,0.1839135,0.16593383,0.069865696,0.58800936,0.03162552,-0.44474533,-0.65174896,0.08766785,-0.52446747,0.12455471,-0.4404758,-0.13815437,-0.28227162,0.066515595,0.15397258,0.46846497,-0.3886128,0.06397158,-0.4517314,-0.10574514,-0.66113436,0.10665714,-0.1561667,0.005389326,-0.33576995,0.06948047,0.3524501,0.23626441,0.19298247,0.048217725,0.5700761,0.33908722,-0.122571364,-0.38811684,-0.13951102,-0.34561446,0.757105,0.41831896,0.074967004,-0.20322098,-0.52227986,0.24553485,-0.15699902,-0.11824192,0.48946005,-0.00058494887,0.055020157,0,0,0,Peripheral,Peripheral,0.01259861481824553
1,15,0.03759398496240601,0.01079531141082504,0.28668316864535565,0.12505564493373622,0.06666666666666667,10,0.01109830066309983,857.1585213309191,0.18333333333333332,16,0.12888888888888883,1,0.9977774737669175,15,7,3.066666666666667,5,9,1,0,-0.19075939,-0.08564299,-0.43149439,0.18961705,-0.17554288,-0.18315938,-0.32010123,0.32376507,-0.27794632,-0.5395404,0.22513527,-0.113098346,-0.080091126,0.08302651,0.2224976,-0.20218812,-0.16735038,-0.083696105,0.08836878,-0.081717625,0.15895341,0.027425988,-0.14667019,-0.06418722,0.047285832,-0.00012046776,-0.027840063,-0.16318145,0.05750867,0.16173238,0.09090701,-0.13696171,0.292307,-0.27677476,0.13569905,-0.238377,0.20074075,-0.33192056,0.43237287,0.15506369,-0.08094437,-0.124561444,0.21986844,-0.06269611,-0.050735265,0.05685412,0.20722379,0.10873223,0.087940365,-0.14037463,-0.21349086,0.015821634,-0.073837064,0.28499794,0.1486962,-0.16038081,-0.155609,-0.3722384,-0.0064757215,0.3057018,-0.05134022,0.16662276,-0.056856174,0.25285235,0,0,0,Broker,Peripheral,0.09646620052493962
2,26,0.06516290726817042,0.02676235351077078,0.31938252711424575,0.1674009242443859,0.018461538461538463,10,0.032090259957706785,2124.9576311087108,0.09116809116809117,27,0.2174556213017752,3,2.193312645037188,15,4,2.6666666666666665,15,0,0,0,-0.2256558,-0.27689573,-0.29865298,0.09938753,-0.051985722,0.059339553,0.09239811,0.18024075,-0.029726753,-0.36647135,0.33934152,-0.006358459,-0.16760065,-0.07740957,0.05914883,-0.09052625,-0.12531279,-0.051109087,-0.07070077,0.11229999,0.29961622,0.36420244,0.040416606,-0.17609432,-0.022955716,0.095998205,0.007387681,-0.030971307,-0.0621298,0.17023312,-0.11656356,-0.2442617,0.42671618,-0.08564287,-0.017058287,0.14344455,-0.14400953,-0.28472978,0.69172883,0.29990086,-0.06795405,0.123110294,0.15359828,0.21644382,0.25924486,0.049649235,-0.03401091,-0.04080681,0.09210842,-0.19747874,-0.11392613,0.1571597,-0.0031729392,0.16255848,0.17943396,-0.2590973,0.0047954745,-0.21022691,0.2427367,0.12756555,-0.073989294,0.24431658,-0.025718268,0.1748847,0,0,0,Coordinator,Coordinator,1.0
3,29,0.07268170426065163,0.03140281242471127,0.31504561597981373,0.19473504100797628,0.03940886699507389,10,0.04162209894292564,2493.4147093344995,0.10344827586206896,30,0.3151010701545779,5,2.32614988628944,18,7,3.111111111111111,14,4,0,0,-0.15607284,-0.055808205,-0.3653752,0.18613105,-0.19408026,-0.13046473,-0.04118638,0.116199456,-0.23417723,-0.27254358,0.24022618,-0.045066915,-0.23872869,0.06106492,0.11689019,-0.2543629,-0.1981447,-0.14452188,0.027707832,-0.075047165,0.3223799,0.21132165,0.0018646024,-0.12244064,0.10895029,-0.08280516,-0.2176011,-0.20240854,0.09447216,0.17726673,0.111404315,-0.14607856,0.047299575,-0.2973595,0.017863438,0.023753716,-0.041032255,-0.029758275,0.44035134,0.10673985,0.031320665,-2.4582532e-06,-0.045333527,-0.054332104,0.19185364,-0.15140034,0.030317074,-0.05217903,-0.15938707,-0.1901013,-0.24516821,0.111142986,0.022361696,0.14578325,0.23164135,-0.2781531,-0.09972411,-0.22356689,0.22408898,0.3713891,0.017112216,0.27795246,0.15855843,0.3179371,0,0,0,Coordinator,Peripheral,0.15883804766070653
4,8,0.020050125313283207,0.016494951998917977,0.26689566974132123,0.04689455290242556,0.21428571428571427,5,0.0067114024138801446,1309.7156836660863,0.3888888888888889,9,0.0,0,0.20075402625340386,16,10,2.0,2,5,6,3,-0.13208827,-0.055049654,-0.36298773,0.12664862,0.17418675,-0.39769578,0.038891032,0.33600932,-0.14268312,-0.4162979,-0.054586392,0.18481757,-0.43730804,-0.17684771,-0.0010690849,-0.4997605,-0.24033754,-0.16456932,0.11441022,-0.30281493,0.12565418,0.1557602,-0.03746333,0.047628343,-0.063803546,0.21026249,-0.107269235,-0.5548991,-0.19603194,0.031196903,-0.07626508,-0.39525664,0.44276348,-0.08378703,-0.03268064,0.21863809,-0.36359686,-0.22200578,0.8651862,0.05990107,0.110129036,0.30706996,0.37341353,0.09183495,0.45798028,0.45927635,-0.16078989,-0.01757435,0.053784303,0.03438242,-0.001262135,-0.13742943,0.26562482,0.21213982,0.25207317,-0.1496967,0.3806707,-0.74847746,-0.124461904,0.31345552,0.095242165,0.21570398,-0.06465015,-0.07845237,0,0,0,Enabler,Peripheral,0.04789912441079517
5,3,0.007518796992481203,0.0023878792458533276,0.20544720434863248,0.004132674798742049,0.0,2,0.004729159582373018,189.60000000000005,0.5,4,0.0,0,-0.4634321800078576,10,5,1.5,0,2,1,7,-0.2672347,0.25634107,-0.4496738,0.33220813,-0.0712594,-0.25370458,0.19424096,-0.54962635,0.1092627,-0.03658333,0.14044784,-0.61096394,0.081975214,-0.070996,0.22070235,-0.83734083,-0.021216568,-0.1384728,0.17721398,0.36116558,0.27612796,0.20780644,0.15883712,-0.020297496,0.07515852,0.07697937,-0.7422185,0.0023259297,-0.046690345,0.0047062114,-0.26834023,-0.55410486,0.48249868,-0.06906182,0.11742052,-0.036580194,-0.30681723,-0.34130347,0.549379,0.33633283,-0.07316891,0.42817473,0.20152628,0.09044783,0.6294153,0.5163944,0.17562357,0.5029751,0.20040368,-0.5135653,-0.60194635,-0.28809217,0.0055002193,-0.2904442,-0.26262647,-0.7018019,-0.4042354,-0.5724445,-0.61313903,0.38418832,-0.036822975,0.4956135,-0.39245358,0.80841875,1,1,0,Peripheral,Peripheral,0.02916306361260389
6,1,0.002506265664160401,0.0,0.1997613961102017,0.0028459276729731284,0.0,1,0.0,0.0,1.0,2,0.0,0,-0.7291066625123621,12,7,2.4166666666666665,0,6,4,2,0.3085282,0.19301325,-0.17356293,0.27066365,-0.3961174,-0.7863774,-0.128583,-0.37200144,-0.481142,-0.5267358,-0.15986384,-0.052018434,-0.38498563,0.007252975,-0.028961683,-0.15997787,0.32987753,0.077681795,0.42541188,-0.19757952,0.2516034,0.51625556,0.07764725,-0.5890449,-0.033171326,0.15184604,-0.094138116,-0.26736802,0.25834203,-0.025408257,-0.3464379,-0.31122315,-0.26541072,-0.8750404,-0.1322803,-0.11469311,0.09368509,-0.09116436,0.8934185,-0.24269098,0.28014407,-0.52251935,-0.15592459,0.41081515,-0.0709399,-0.51748,0.17027138,-0.020692226,-0.49322385,0.11147897,0.2683976,-0.28741708,0.08095726,-0.22046266,-0.082596,0.013446227,0.16434172,-0.6184236,0.616539,0.83485264,-0.3291303,0.63851494,0.0030525674,0.34987387,1,1,0,Peripheral,Peripheral,0.020428130878818913
7,2,0.005012531328320802,4.679345542841457e-05,0.20888233445349708,0.004989146686003039,0.0,2,0.00010323009624025982,3.715447154471545,0.6666666666666666,3,0.0,0,-0.5962694212601098,11,7,2.090909090909091,0,3,2,6,-0.18537855,-0.18921323,-0.36482504,-0.16705734,0.007016965,0.18343431,-0.41040513,0.2817321,-0.5763973,-0.49926636,0.16377392,-0.21105686,-0.41385412,0.2309397,0.050732996,-0.41593638,-0.3286581,0.2841396,0.18759568,0.33868518,0.06597804,0.50434315,-0.4604353,-1.001382,-0.16534671,-0.16936806,-0.13484116,-0.047163103,0.26525602,0.74449986,-0.09773153,-0.38552263,0.6046527,0.23165946,-0.18129691,-0.003365193,0.23178802,-0.052067183,0.85960644,0.44400975,-0.26429662,0.49739227,0.42454058,0.27767974,0.3083447,0.31459656,0.29249033,-0.011267189,-0.060227387,-0.35761923,0.21783343,-0.06393044,0.1312269,0.078878544,-0.017817907,0.16852723,0.19308947,-0.092826016,0.4678495,0.1687781,-0.17794548,0.4434457,-0.71581227,0.16041633,0,0,0,Peripheral,Peripheral,0.012284708660005412
8,0,0.0,0.0,0.0,7.590317288714358e-60,0.0,0,0.0,0.0,0.0,1,0.0,0,0.0,5,5,2.6,0,2,1,2,-0.003242148,0.0045376904,0.0035238415,-0.011081716,0.00044360384,-0.0020716917,0.0145095475,-0.0010902099,0.008279122,0.0071300305,-0.007878987,0.0024193153,0.0014681127,-0.01319325,0.0058755763,-0.013953134,-0.0022581704,-0.013192259,0.0043777525,-0.0077727847,0.0020757616,0.01238157,0.01062803,0.0033544116,0.010925138,-0.001240259,0.015390372,0.008516027,0.003902968,0.013805101,0.0053931493,0.01137675,0.0061497223,-0.013419595,0.0037255771,-8.524582e-05,-0.0006750673,-0.0029304978,-0.0006052535,0.006879661,-0.013738712,0.0074104834,0.012662057,0.0144790225,0.01459223,-0.005541999,-0.013503099,0.0059842467,-0.011215659,0.010214906,-0.008064823,0.012800578,-0.013161939,-0.004563451,-0.0055545233,-0.005983347,-0.010639003,0.0071515106,0.0028584674,0.01153226,0.004735332,-0.006613517,0.0037086848,-0.0033859685,0,0,0,Peripheral,Peripheral,0.0
9,14,0.03508771929824561,0.0020842507963664647,0.28097926477092383,0.12270311138051365,0.15384615384615385,10,0.0033290599150030925,165.49159748229368,0.26666666666666666,15,0.0,0,0.9977774737669175,11,6,2.5454545454545454,4,7,0,0,-0.07830682,0.06830098,-0.1904999,0.19597982,-0.16829681,0.0673928,-0.09962819,0.06700305,-0.089369856,-0.5287096,0.24026014,-0.12989515,-0.10652235,0.09656052,0.15612517,0.051678427,-0.117639795,-0.13006677,0.25851008,-0.27608436,0.17753437,0.35065812,-0.29379633,-0.14408708,0.17589456,0.1251198,0.080101416,-0.09997348,0.06491566,-0.12499143,-0.03723583,-0.36697787,0.2853239,-0.15099365,0.068286,-0.16469005,0.05695394,-0.44489762,0.5322553,0.10557729,-0.20478691,-0.04474638,0.02486706,-0.07821774,0.23329908,0.014999878,0.11531878,0.21845895,-0.03208905,0.020951545,-0.1944963,0.16085151,0.16452737,0.021625075,0.09081332,-0.39101174,-0.16854064,-0.34077653,0.09288263,0.3520107,-0.080267265,0.022472726,-0.29563916,0.22309639,0,0,0,Broker,Broker,1.0
