from_id,to_id,weight,relation_type
0,46,4,operational
0,77,3,operational
1,2,11,hierarchical
1,3,11,hierarchical
1,50,8,hierarchical
1,61,13,hierarchical
1,66,13,hierarchical
1,69,9,hierarchical
1,73,11,hierarchical
1,81,11,hierarchical
1,85,14,hierarchical
1,116,14,hierarchical
1,46,5,coordination
1,93,6,coordination
1,123,7,coordination
1,83,8,coordination
1,148,5,coordination
2,9,8,hierarchical
2,12,14,hierarchical
2,14,13,hierarchical
2,15,13,hierarchical
2,30,14,hierarchical
2,31,14,hierarchical
2,33,11,hierarchical
2,41,12,hierarchical
2,52,13,hierarchical
2,59,13,hierarchical
2,64,8,hierarchical
2,65,8,hierarchical
2,72,8,hierarchical
2,86,12,hierarchical
2,97,9,hierarchical
2,100,10,hierarchical
2,110,14,hierarchical
2,132,12,hierarchical
2,91,6,hierarchical
2,36,6,hierarchical
2,19,9,hierarchical
2,4,9,hierarchical
2,399,11,hierarchical
2,253,11,hierarchical
2,379,11,hierarchical
3,9,9,hierarchical
3,12,14,hierarchical
3,14,8,hierarchical
3,15,10,hierarchical
3,30,8,hierarchical
3,31,12,hierarchical
3,33,10,hierarchical
3,41,12,hierarchical
3,52,9,hierarchical
3,59,13,hierarchical
3,64,14,hierarchical
3,65,11,hierarchical
3,72,9,hierarchical
3,86,11,hierarchical
3,97,8,hierarchical
3,100,13,hierarchical
3,110,11,hierarchical
3,132,13,hierarchical
3,112,6,hierarchical
3,123,6,hierarchical
3,93,9,hierarchical
3,27,6,hierarchical
3,131,7,hierarchical
3,233,11,hierarchical
3,263,11,hierarchical
3,207,11,hierarchical
3,158,13,hierarchical
3,152,14,hierarchical
4,61,5,hierarchical
4,66,7,hierarchical
4,33,8,coordination
4,41,4,coordination
4,13,4,operational
4,121,2,operational
4,25,2,operational
5,44,2,operational
5,104,4,operational
5,70,2,operational
6,27,3,operational
7,36,4,operational
7,91,4,operational
9,50,13,hierarchical
9,61,12,hierarchical
9,66,14,hierarchical
9,69,14,hierarchical
9,73,8,hierarchical
9,81,12,hierarchical
9,85,8,hierarchical
9,116,12,hierarchical
9,37,7,coordination
9,112,5,coordination
9,19,6,coordination
