from_id,to_id,weight,relation_type
0,46,4,original
0,77,3,original
1,2,11,original
1,3,11,original
1,50,8,original
1,61,13,original
1,66,13,original
1,69,9,original
1,73,11,original
1,81,11,original
1,85,14,original
1,116,14,original
1,46,5,original
1,93,6,original
1,123,7,original
1,83,8,original
1,148,5,original
2,9,8,original
2,12,14,original
2,14,13,original
2,15,13,original
2,30,14,original
2,31,14,original
2,33,11,original
2,41,12,original
2,52,13,original
2,59,13,original
2,64,8,original
2,65,8,original
2,72,8,original
2,86,12,original
2,97,9,original
2,100,10,original
2,110,14,original
2,132,12,original
2,91,6,original
2,36,6,original
2,19,9,original
2,4,9,original
2,399,11,original
2,253,11,original
2,379,11,original
3,9,9,original
3,12,14,original
3,14,8,original
3,15,10,original
3,30,8,original
3,31,12,original
3,33,10,original
3,41,12,original
3,52,9,original
3,59,13,original
3,64,14,original
3,65,11,original
3,72,9,original
3,86,11,original
3,97,8,original
3,100,13,original
3,110,11,original
3,132,13,original
3,112,6,original
3,123,6,original
3,93,9,original
3,27,6,original
3,131,7,original
3,233,11,original
3,263,11,original
3,207,11,original
3,158,13,original
3,152,14,original
4,61,5,original
4,66,7,original
4,33,8,original
4,41,4,original
4,13,4,original
4,121,2,original
4,25,2,original
5,44,2,original
5,104,4,original
5,70,2,original
6,27,3,original
7,36,4,original
7,91,4,original
9,50,13,original
9,61,12,original
9,66,14,original
9,69,14,original
9,73,8,original
9,81,12,original
9,85,8,original
9,116,12,original
9,37,7,original
9,112,5,original
9,19,6,original
9,123,5,original
10,80,2,original
11,20,4,original
11,131,3,original
11,78,1,original
12,50,11,original
12,61,8,original
12,66,9,original
12,69,11,original
12,73,13,original
12,81,9,original
12,85,10,original
12,116,14,original
12,131,7,original
12,44,5,original
12,79,7,original
13,80,3,original
13,104,4,original
14,50,13,original
14,61,14,original
14,66,12,original
14,69,10,original
14,73,11,original
14,81,13,original
14,85,13,original
14,116,14,original
14,101,8,original
14,117,7,original
14,108,6,original
15,50,14,original
15,61,13,original
15,66,13,original
15,69,11,original
15,73,13,original
15,81,14,original
15,85,9,original
15,116,14,original
15,79,7,original
15,16,8,original
15,93,5,original
15,77,6,original
15,242,4,original
16,73,7,original
16,52,7,original
16,65,6,original
16,100,5,original
16,110,6,original
16,132,8,original
16,51,2,original
16,125,3,original
16,111,3,original
16,42,2,original
17,126,1,original
19,50,7,original
19,61,5,original
19,81,8,original
19,31,6,original
19,129,4,original
19,90,3,original
19,54,3,original
19,21,3,original
19,63,4,original
20,81,7,original
20,85,7,original
20,64,4,original
20,95,3,original
20,29,3,original
20,94,3,original
20,115,4,original
21,108,3,original
22,84,3,original
23,83,3,original
23,131,3,original
24,131,3,original
25,108,3,original
27,50,9,original
27,41,6,original
27,72,8,original
27,86,6,original
27,42,2,original
27,48,2,original
28,108,3,original
29,37,2,original
29,46,2,original
30,50,11,original
30,61,13,original
30,66,9,original
30,69,9,original
30,73,13,original
30,81,10,original
30,85,10,original
30,116,11,original
30,84,4,original
30,44,4,original
30,112,7,original
31,50,9,original
31,61,12,original
31,66,12,original
31,69,9,original
31,73,12,original
31,81,14,original
31,85,8,original
31,116,8,original
31,83,8,original
31,46,4,original
31,79,7,original
32,54,1,original
33,50,11,original
33,61,12,original
33,66,11,original
33,69,12,original
33,73,10,original
33,81,14,original
33,85,12,original
33,44,4,original
33,131,8,original
34,83,3,original
36,50,5,original
36,66,6,original
36,116,9,original
36,113,4,original
36,68,2,original
36,109,2,original
37,66,6,original
37,85,9,original
37,72,8,original
37,99,4,original
37,71,2,original
37,128,4,original
39,54,2,original
40,44,2,original
41,50,14,original
41,61,9,original
41,66,10,original
41,69,9,original
41,73,8,original
41,81,13,original
41,85,10,original
41,116,11,original
41,84,4,original
41,82,7,original
41,228,1,original
42,112,3,original
43,91,3,original
44,116,9,original
44,129,3,original
44,63,4,original
45,118,2,original
46,50,8,original
46,66,5,original
46,52,4,original
46,110,4,original
46,94,4,original
46,49,3,original
46,122,2,original
47,83,2,original
49,360,1,original
50,52,11,original
50,59,14,original
50,64,13,original
50,65,8,original
50,72,13,original
50,86,10,original
50,97,10,original
50,100,12,original
50,110,14,original
50,132,9,original
50,112,6,original
50,233,13,original
50,263,10,original
50,267,14,original
52,61,12,original
52,66,12,original
52,69,12,original
52,73,12,original
52,81,10,original
52,85,13,original
52,116,14,original
52,77,4,original
52,112,8,original
53,83,3,original
53,112,2,original
53,106,1,original
54,123,2,original
55,117,3,original
59,61,11,original
59,66,10,original
59,69,9,original
59,73,12,original
59,81,12,original
59,85,13,original
59,116,8,original
59,84,8,original
59,108,4,original
59,80,5,original
59,313,4,original
60,131,4,original
61,64,10,original
61,65,10,original
61,72,8,original
61,86,9,original
61,97,14,original
