incident_id,person_id,date,crime_type,modus_operandi,severity,location,persons_involved,description
0,487,2023-08-22,Collection,Peripheral,High,City_1,487;205;460,Collection operation led by Peripheral
1,284,2023-08-01,Document Forgery,Enabler,Medium,City_5,284;332;396;22;166,Document Forgery operation led by Enabler
2,81,2024-01-07,Robbery,Peripheral,Medium,City_6,81;238,Robbery operation led by Peripheral
3,441,2021-10-05,Logistics,Enabler,Medium,City_9,441;132;487;60;397,Logistics operation led by Enabler
4,464,2020-05-10,Logistics,Enabler,Medium,City_4,464;168;493,Logistics operation led by Enabler
5,185,2020-02-26,Collection,Peripheral,Low,City_3,185;56,Collection operation led by Peripheral
6,493,2020-08-05,Illegal Contracts,Broker,Severe,City_1,493;395;122;490;294,Illegal Contracts operation led by Broker
7,414,2024-05-07,Document Forgery,Enabler,Medium,City_6,414;112;391,Document Forgery operation led by Enabler
8,101,2022-08-02,Intimidation,Peripheral,Medium,City_3,101;388;72,Intimidation operation led by Peripheral
9,458,2024-08-14,Arson,Peripheral,Low,City_3,458;95;409;381;230,Arson operation led by Peripheral
10,443,2022-12-25,Collection,Peripheral,Low,City_10,443;388;391,Collection operation led by Peripheral
11,52,2024-09-07,Arson,Peripheral,Low,City_8,52;488;486;426,Arson operation led by Peripheral
12,360,2021-06-03,Collection,Peripheral,Low,City_3,360;13;450;350,Collection operation led by Peripheral
13,429,2023-05-18,Drug Trafficking,Enabler,Medium,City_1,429;478,Drug Trafficking operation led by Enabler
14,475,2024-07-30,Illegal Contracts,Broker,High,City_7,475;356;236;317,Illegal Contracts operation led by Broker
15,439,2022-10-08,Document Forgery,Enabler,Severe,City_3,439;137;231;368,Document Forgery operation led by Enabler
16,454,2024-11-12,Collection,Peripheral,Low,City_5,454;388;133;60,Collection operation led by Peripheral
17,205,2021-11-27,Collection,Peripheral,Medium,City_7,205;267;4;384,Collection operation led by Peripheral
18,42,2022-08-07,Strategic Planning,Coordinator,Medium,City_7,42;38,Strategic Planning operation led by Coordinator
19,140,2021-03-01,Territory Control,Coordinator,High,City_1,140;408;186;61,Territory Control operation led by Coordinator
20,333,2023-12-27,Weapons Supply,Enabler,Low,City_1,333;212;183,Weapons Supply operation led by Enabler
21,439,2023-08-25,Weapons Supply,Enabler,Medium,City_9,439;209;212;146,Weapons Supply operation led by Enabler
22,55,2022-11-09,Arson,Peripheral,Low,City_7,55;82,Arson operation led by Peripheral
23,112,2024-02-09,Weapons Supply,Enabler,Medium,City_6,112;70,Weapons Supply operation led by Enabler
24,436,2023-03-02,Collection,Peripheral,Medium,City_1,436;494;76;453;306,Collection operation led by Peripheral
25,261,2020-01-25,Intimidation,Peripheral,Severe,City_5,261;257,Intimidation operation led by Peripheral
26,487,2023-07-23,Arson,Peripheral,Low,City_7,487;84;417,Arson operation led by Peripheral
27,108,2021-11-27,Document Forgery,Enabler,Severe,City_6,108;338;448;353,Document Forgery operation led by Enabler
28,307,2020-10-30,Arson,Peripheral,Low,City_6,307;319;471;410;388,Arson operation led by Peripheral
29,239,2022-04-25,Resource Distribution,Broker,Medium,City_4,239;190;174;139;429,Resource Distribution operation led by Broker
30,42,2024-04-28,Money Laundering,Coordinator,Severe,City_2,42;302,Money Laundering operation led by Coordinator
31,221,2023-04-18,Document Forgery,Enabler,Medium,City_8,221;64,Document Forgery operation led by Enabler
32,212,2020-01-16,Coordination,Broker,Medium,City_10,212;95;491;442,Coordination operation led by Broker
33,489,2022-11-10,Drug Trafficking,Enabler,High,City_2,489;21;250;415,Drug Trafficking operation led by Enabler
34,407,2023-11-29,Collection,Peripheral,Medium,City_4,407;296;340;244;214,Collection operation led by Peripheral
35,285,2021-06-04,Logistics,Enabler,Severe,City_4,285;299;427,Logistics operation led by Enabler
36,212,2023-06-14,Extortion,Broker,Medium,City_5,212;24;142;350,Extortion operation led by Broker
37,351,2024-01-09,Robbery,Peripheral,Low,City_6,351;368,Robbery operation led by Peripheral
38,218,2023-11-13,Robbery,Peripheral,Low,City_1,218;172;11;407;58,Robbery operation led by Peripheral
39,281,2023-08-17,Illegal Contracts,Broker,Low,City_8,281;315;440,Illegal Contracts operation led by Broker
40,141,2020-11-24,Coordination,Broker,Severe,City_6,141;57,Coordination operation led by Broker
41,207,2024-01-28,Intimidation,Peripheral,Low,City_5,207;479;158,Intimidation operation led by Peripheral
42,326,2021-05-25,Document Forgery,Enabler,Low,City_5,326;397;328;24;193,Document Forgery operation led by Enabler
43,24,2023-05-28,Extortion,Broker,High,City_1,24;438;16;122,Extortion operation led by Broker
44,339,2023-11-10,Document Forgery,Enabler,Severe,City_5,339;325;303;491,Document Forgery operation led by Enabler
45,308,2024-11-21,Arson,Peripheral,Severe,City_1,308;201;196,Arson operation led by Peripheral
46,49,2023-08-10,Drug Trafficking,Enabler,Low,City_2,49;491;121;79,Drug Trafficking operation led by Enabler
47,358,2022-05-18,Territory Control,Coordinator,Severe,City_2,358;265;445;257;72,Territory Control operation led by Coordinator
48,380,2020-07-27,Robbery,Peripheral,Low,City_10,380;297,Robbery operation led by Peripheral
49,462,2022-09-20,Intimidation,Peripheral,Low,City_4,462;362,Intimidation operation led by Peripheral
50,17,2023-12-22,Document Forgery,Enabler,Severe,City_6,17;335;451;99,Document Forgery operation led by Enabler
51,68,2022-05-09,Extortion,Broker,Severe,City_2,68;30,Extortion operation led by Broker
52,283,2024-05-11,Arson,Peripheral,Low,City_4,283;93;102,Arson operation led by Peripheral
53,326,2022-11-24,Weapons Supply,Enabler,Medium,City_3,326;23;398;301,Weapons Supply operation led by Enabler
54,103,2021-08-12,Arson,Peripheral,Medium,City_3,103;19;105;34,Arson operation led by Peripheral
55,177,2023-04-02,Illegal Contracts,Broker,Medium,City_2,177;69;352;206;186,Illegal Contracts operation led by Broker
56,480,2023-11-13,Strategic Planning,Coordinator,High,City_10,480;95;434;46,Strategic Planning operation led by Coordinator
57,445,2021-06-14,Document Forgery,Enabler,High,City_2,445;148;293;340,Document Forgery operation led by Enabler
58,157,2023-11-06,Document Forgery,Enabler,Low,City_1,157;484;345,Document Forgery operation led by Enabler
59,234,2023-01-22,Coordination,Broker,High,City_5,234;95;239,Coordination operation led by Broker
60,470,2023-05-20,Robbery,Peripheral,Medium,City_5,470;275;116;5;110,Robbery operation led by Peripheral
61,259,2024-06-14,Intimidation,Peripheral,Low,City_10,259;65;300;437;12,Intimidation operation led by Peripheral
62,497,2021-11-10,Robbery,Peripheral,High,City_2,497;11,Robbery operation led by Peripheral
63,366,2022-12-14,Intimidation,Peripheral,Low,City_6,366;443;370,Intimidation operation led by Peripheral
64,471,2020-05-25,Weapons Supply,Enabler,High,City_10,471;64;277;133,Weapons Supply operation led by Enabler
65,363,2024-05-16,Coordination,Broker,High,City_3,363;291,Coordination operation led by Broker
66,311,2020-07-31,Illegal Contracts,Broker,Severe,City_6,311;227,Illegal Contracts operation led by Broker
67,177,2020-01-27,Coordination,Broker,High,City_8,177;448;429,Coordination operation led by Broker
68,466,2020-03-14,Robbery,Peripheral,Low,City_2,466;81;452,Robbery operation led by Peripheral
69,46,2020-08-24,Logistics,Enabler,Medium,City_10,46;190;390;4,Logistics operation led by Enabler
70,121,2022-06-24,Extortion,Broker,Medium,City_9,121;492;393;191;236,Extortion operation led by Broker
71,30,2024-12-20,Logistics,Enabler,Low,City_7,30;323,Logistics operation led by Enabler
72,377,2023-11-13,Collection,Peripheral,High,City_3,377;389;306;4,Collection operation led by Peripheral
73,125,2021-11-09,Extortion,Broker,Severe,City_8,125;246;493,Extortion operation led by Broker
74,50,2023-10-30,Document Forgery,Enabler,Severe,City_2,50;21;332;294,Document Forgery operation led by Enabler
75,346,2020-03-02,Collection,Peripheral,High,City_9,346;400;15,Collection operation led by Peripheral
76,106,2023-11-04,Robbery,Peripheral,Low,City_3,106;373,Robbery operation led by Peripheral
77,246,2021-06-08,Logistics,Enabler,Medium,City_3,246;273,Logistics operation led by Enabler
78,443,2024-09-07,Robbery,Peripheral,Low,City_4,443;348;92,Robbery operation led by Peripheral
79,269,2024-12-15,Document Forgery,Enabler,High,City_2,269;222;287;254;355,Document Forgery operation led by Enabler
80,454,2024-06-10,Collection,Peripheral,Low,City_3,454;306;88,Collection operation led by Peripheral
81,198,2023-12-20,Arson,Peripheral,High,City_3,198;34;29;258,Arson operation led by Peripheral
82,405,2022-11-06,Document Forgery,Enabler,Medium,City_7,405;211;391;242;468,Document Forgery operation led by Enabler
83,49,2023-03-18,Drug Trafficking,Enabler,High,City_1,49;493;127;316,Drug Trafficking operation led by Enabler
84,340,2020-08-08,Arson,Peripheral,Medium,City_1,340;399,Arson operation led by Peripheral
85,430,2021-05-08,Illegal Contracts,Broker,Medium,City_5,430;197;449;140;326,Illegal Contracts operation led by Broker
86,106,2023-04-13,Robbery,Peripheral,High,City_7,106;144;296,Robbery operation led by Peripheral
87,462,2024-03-21,Collection,Peripheral,Low,City_4,462;210,Collection operation led by Peripheral
88,317,2023-06-10,Illegal Contracts,Broker,Medium,City_10,317;296;67;72;337,Illegal Contracts operation led by Broker
89,480,2023-01-19,Strategic Planning,Coordinator,Severe,City_3,480;424,Strategic Planning operation led by Coordinator
90,160,2021-08-17,Logistics,Enabler,High,City_6,160;26,Logistics operation led by Enabler
91,257,2023-10-31,Weapons Supply,Enabler,Severe,City_7,257;163;275,Weapons Supply operation led by Enabler
92,220,2024-06-18,Weapons Supply,Enabler,High,City_4,220;93;326;165,Weapons Supply operation led by Enabler
93,333,2020-10-02,Weapons Supply,Enabler,Medium,City_10,333;94;206;227;346,Weapons Supply operation led by Enabler
94,227,2023-06-01,Logistics,Enabler,Medium,City_1,227;439;389,Logistics operation led by Enabler
95,70,2020-08-28,Intimidation,Peripheral,Low,City_2,70;340;224;52,Intimidation operation led by Peripheral
96,295,2023-12-04,Intimidation,Peripheral,High,City_4,295;149;453;148,Intimidation operation led by Peripheral
97,150,2022-01-16,Collection,Peripheral,High,City_1,150;105,Collection operation led by Peripheral
98,126,2021-09-19,Coordination,Broker,High,City_6,126;21;182;357;17,Coordination operation led by Broker
99,450,2022-04-23,Collection,Peripheral,High,City_8,450;499,Collection operation led by Peripheral
100,124,2024-04-02,Intimidation,Peripheral,High,City_6,124;348;179,Intimidation operation led by Peripheral
101,337,2021-11-28,Weapons Supply,Enabler,Medium,City_6,337;48,Weapons Supply operation led by Enabler
102,279,2021-07-01,Coordination,Broker,Medium,City_10,279;40;191;473,Coordination operation led by Broker
103,427,2022-02-11,Intimidation,Peripheral,Low,City_10,427;267;312;362;162,Intimidation operation led by Peripheral
104,471,2022-09-26,Logistics,Enabler,Medium,City_4,471;34,Logistics operation led by Enabler
105,98,2020-01-03,Illegal Contracts,Broker,High,City_5,98;485;121;174,Illegal Contracts operation led by Broker
106,328,2024-04-02,Intimidation,Peripheral,Medium,City_5,328;257;262;71;499,Intimidation operation led by Peripheral
107,99,2023-11-11,Robbery,Peripheral,High,City_6,99;418;446,Robbery operation led by Peripheral
108,302,2023-04-10,Territory Control,Coordinator,Severe,City_10,302;82;475;239,Territory Control operation led by Coordinator
109,440,2020-11-29,Logistics,Enabler,High,City_9,440;416;383;104,Logistics operation led by Enabler
110,341,2023-04-03,Collection,Peripheral,Low,City_3,341;19;49,Collection operation led by Peripheral
111,457,2021-03-26,Intimidation,Peripheral,Severe,City_3,457;12;305;254;263,Intimidation operation led by Peripheral
112,125,2020-09-13,Coordination,Broker,Medium,City_9,125;369,Coordination operation led by Broker
113,256,2022-12-18,Robbery,Peripheral,Medium,City_7,256;436;326;458,Robbery operation led by Peripheral
114,288,2020-11-26,Intimidation,Peripheral,High,City_6,288;417;267;300,Intimidation operation led by Peripheral
115,400,2022-07-23,Collection,Peripheral,Medium,City_1,400;46;306;208,Collection operation led by Peripheral
116,1,2022-04-04,Drug Trafficking,Enabler,Medium,City_3,1;56,Drug Trafficking operation led by Enabler
117,104,2020-07-28,Weapons Supply,Enabler,Medium,City_5,104;8;16;327;493,Weapons Supply operation led by Enabler
118,429,2022-05-17,Drug Trafficking,Enabler,Severe,City_9,429;80,Drug Trafficking operation led by Enabler
119,419,2023-02-06,Robbery,Peripheral,Medium,City_4,419;273,Robbery operation led by Peripheral
120,199,2023-10-28,Intimidation,Peripheral,Low,City_1,199;120;275;383,Intimidation operation led by Peripheral
