person_id,degree,degree_centrality,betweenness,closeness,eigenvector,clustering_coef,core_number,is_bridge,ego_density,ego_nodes,participation_coef,cross_community_edges,within_module_z,cross_comm_connections,cross_comm_ratio,bottleneck_score,avg_neighbor_importance,neighbor_diversity_entropy,incident_count,crime_diversity,avg_severity,coordinator_interactions,broker_interactions,enabler_interactions,peripheral_interactions,high_severity_ratio,severe_ratio,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,true_role,predicted_role,mo_importance_score
0,1,0.002881844380403458,0.0,0.1598966679055145,0.002208665774224543,0.0,1,1,1.0,2,0.0,0,-0.6563924617405256,1,0.25,0.005366192984199543,0.0048222063537268324,-1.000088900581841e-12,1,1,2.0,0,0,1,0,0.0,0.0,0.23978637158870697,-0.35688579082489014,0.27197563648223877,0.3768288791179657,-0.03615685924887657,-0.16402006149291992,-0.6359694600105286,-0.35089653730392456,0.08846668899059296,-0.10061638802289963,0.2869156301021576,-0.2980513572692871,-0.6785621643066406,-0.3266529142856598,0.6638054251670837,0.11472494900226593,-0.3084459900856018,-0.48318085074424744,0.673943042755127,-0.6052846312522888,0.003871255088597536,0.39676833152770996,0.07163181155920029,-0.009060732088983059,0.012553583830595016,-0.5570879578590393,-0.09152020514011383,0.3378749191761017,-0.12031199038028717,-0.4390033483505249,0.6033287644386292,0.30572131276130676,-0.21101590991020203,-0.09611865133047104,-0.7757562398910522,0.14418856799602509,-0.07517789304256439,-0.040046148002147675,-0.14582638442516327,-0.19146770238876343,0.0691634863615036,0.09192923456430435,-0.14561903476715088,-0.08058734238147736,0.4128784239292145,0.10680566728115082,0.057377059012651443,0.03855583071708679,0.17867442965507507,0.12650184333324432,-0.4491339325904846,0.5812239050865173,0.20011918246746063,0.43932124972343445,-0.6224135756492615,0.10367583483457565,0.41247084736824036,0.2851884663105011,0.32958197593688965,0.8888932466506958,0.015799643471837044,0.5357744097709656,0.11689674854278564,0.6088598370552063,Peripheral,Peripheral,0.01839740491298662
1,2,0.005763688760806916,0.000628778819085396,0.18825419768340598,0.005964846420227343,0.0,2,0,0.6666666666666666,3,0.0,0,-0.3281962308702628,1,0.25,0.00784753846652123,0.001590582984039012,-1.000088900581841e-12,14,9,2.4285714285714284,1,4,8,1,0.21428571428571427,0.21428571428571427,0.2091880887746811,-0.12958641350269318,-0.2274983525276184,-0.059174101799726486,0.46436062455177307,-0.18608404695987701,-0.21545885503292084,-0.003957219887524843,0.13023360073566437,0.03636673837900162,0.3219936490058899,-0.2231440246105194,-0.5903202891349792,-0.3207182288169861,0.57601398229599,0.3426477313041687,-0.17961867153644562,-0.3546011745929718,0.6486979722976685,-0.5433555245399475,0.5589558482170105,-0.2504865825176239,-0.6110743284225464,-0.15544463694095612,-0.1359483152627945,-0.07397916913032532,0.06501960009336472,-0.14372727274894714,0.06564781814813614,-0.2246619015932083,0.35176190733909607,0.25306037068367004,-0.10552305728197098,-0.47780951857566833,-0.6172416806221008,0.5473305583000183,0.43820446729660034,0.14839404821395874,-0.34453070163726807,-0.20283634960651398,0.07853903621435165,0.11230234056711197,-0.1626686006784439,0.07354582846164703,0.3722590208053589,0.005473418161273003,-0.15867337584495544,0.4458788335323334,0.08881199359893799,-0.08596361428499222,-0.3931005299091339,0.4312588572502136,0.3347603976726532,0.5584002137184143,-0.31811147928237915,-0.031208261847496033,0.44659459590911865,0.3079681694507599,-0.08720129728317261,1.217346429824829,0.0511651374399662,0.02044435404241085,0.2977638840675354,0.7633339166641235,Enabler,Peripheral,0.0230819115672449
2,1,0.002881844380403458,0.0,0.15781142184519217,0.0007853786537451031,0.0,1,1,1.0,2,0.0,0,-0.6563924617405256,1,0.25,0.005366192984199543,0.002666622245173327,-1.000088900581841e-12,9,5,1.7777777777777777,0,0,4,5,0.1111111111111111,0.0,0.44522175192832947,0.08076756447553635,0.2682700455188751,0.7163353562355042,0.14226987957954407,-0.32685863971710205,-0.0969276949763298,-0.374437153339386,0.24527274072170258,0.4445056617259979,0.4970681965351105,-0.5723700523376465,-0.47118300199508667,-0.48004797101020813,0.6810115575790405,0.3884941637516022,-0.13097314536571503,0.8157508969306946,-0.06349844485521317,-0.20261602103710175,0.6874285936355591,0.04377776384353638,-0.6444525718688965,-0.14787079393863678,-0.12921687960624695,-0.2103785276412964,0.2697696089744568,0.8305444717407227,-0.5246347784996033,-0.40252041816711426,0.6104421615600586,0.1820959895849228,-0.0824194997549057,-0.21319995820522308,-0.02943899668753147,-0.09746561199426651,0.41241294145584106,0.3281291127204895,-0.4598451554775238,0.4944589138031006,-0.076352059841156,-0.2118178904056549,0.16260793805122375,0.5347848534584045,-0.29166457056999207,0.19308510422706604,-0.651861846446991,0.18315553665161133,0.12393570691347122,0.07971114665269852,-0.47395065426826477,0.23866884410381317,0.4813801348209381,0.5620076656341553,-0.11319168657064438,0.3289015293121338,0.07744897156953812,0.1064014732837677,0.7482561469078064,0.11980213224887848,-0.1526140719652176,-0.2871914207935333,-0.6406300067901611,-0.024261631071567535,Peripheral,Peripheral,0.01957335706940127
3,1,0.002881844380403458,0.0,0.14064365210471103,0.0003625632134403021,0.0,1,1,1.0,2,1.0,1,-0.9845886926107883,1,0.25,0.0,0.018992813669647318,-1.000088900581841e-12,7,4,2.7142857142857144,0,0,5,2,0.14285714285714285,0.42857142857142855,0.20372366905212402,-0.020340416580438614,-0.6013349890708923,0.039581768214702606,0.8429824113845825,0.17465461790561676,-0.7179778814315796,-0.06204837188124657,-0.13753582537174225,-0.3279821574687958,-0.4520486891269684,-0.6420183777809143,-0.41782939434051514,0.4243508279323578,-0.24020875990390778,0.39036473631858826,0.043038345873355865,-0.3038571774959564,0.15562571585178375,0.12853549420833588,0.5761183500289917,0.8532931208610535,0.28062063455581665,-0.8901680111885071,0.0052471221424639225,-0.3546072244644165,-0.07406192272901535,0.13919863104820251,-0.4941633343696594,-0.961724042892456,0.17698323726654053,-0.4231676757335663,-0.2944084107875824,-0.005068669095635414,0.05216299369931221,-0.21067047119140625,-0.3118722140789032,-0.4885813593864441,-0.2053089290857315,0.011878976598381996,-0.5305668711662292,0.35050028562545776,-0.2164394110441208,0.4954874515533447,0.1628919541835785,0.09212399274110794,0.32210126519203186,-0.7390938401222229,-0.008554071187973022,-0.8117403984069824,-0.37211403250694275,-0.018611151725053787,0.4754513204097748,-0.021219860762357712,0.0737445130944252,-0.4396877884864807,0.1790728121995926,0.8723058104515076,-0.12370306998491287,0.4572085738182068,-0.12437542527914047,-0.3567081093788147,0.14447113871574402,0.20117999613285065,Peripheral,Peripheral,0.02167321856520788
4,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0,-0.9845886926107883,0,0.0,0.0,0.0,0.0,8,4,2.5,0,0,4,4,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peripheral,Peripheral,0.009347952690522663
5,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0,-0.9845886926107883,0,0.0,0.0,0.0,0.0,8,4,1.5,0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peripheral,Peripheral,0.006370897693540925
6,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0,-0.9845886926107883,0,0.0,0.0,0.0,0.0,2,2,2.0,0,0,0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peripheral,Peripheral,0.00643043879348056
7,1,0.002881844380403458,0.0,0.15764694928464482,0.0007556334694223218,0.0,1,1,1.0,2,0.0,0,-0.6563924617405256,1,0.25,0.005366192984199543,0.008498167613399743,-1.000088900581841e-12,7,6,3.142857142857143,0,0,2,5,0.5714285714285714,0.2857142857142857,-0.3471813201904297,0.25355324149131775,0.051336877048015594,0.6731055378913879,0.4143544137477875,-0.27078747749328613,0.2664831280708313,-0.4206715524196625,-0.28099745512008667,0.3179735839366913,-0.47498780488967896,-0.5480671525001526,-0.6063095927238464,0.1505046933889389,0.37829411029815674,0.20724666118621826,-0.5425971746444702,0.4023415148258209,0.6733234524726868,-0.36227452754974365,0.16926813125610352,0.3210877776145935,-0.47789424657821655,-0.5916417241096497,0.14218445122241974,0.0963476374745369,-0.33692649006843567,-0.43653130531311035,0.35246041417121887,-0.47282126545906067,0.5755441188812256,-0.2547015845775604,-0.6371166110038757,0.8871452212333679,-0.25384360551834106,0.20800836384296417,-0.03317089006304741,-0.2351885735988617,0.12200922518968582,0.4836326241493225,-0.11968083679676056,0.12766240537166595,-0.08671340346336365,0.015947910025715828,-0.2984752058982849,-0.0495089590549469,-0.4265519082546234,0.33624890446662903,0.3201359510421753,-0.02669672667980194,-0.6700839996337891,0.6154596209526062,0.45012447237968445,0.20608696341514587,-0.21886473894119263,0.17741258442401886,1.076291799545288,-0.4061878025531769,0.2435041218996048,0.40028560161590576,0.36665499210357666,-0.17445778846740723,-0.20163260400295258,0.9069761633872986,Peripheral,Peripheral,0.02315952776617639
8,2,0.005763688760806916,0.011941830054471855,0.1891960573341047,0.005321235708732721,0.0,1,1,0.6666666666666666,3,0.75,1,-0.6563924617405256,2,0.5,0.016065454304548015,0.008668227298248843,0.6931471805579453,9,5,2.111111111111111,0,0,3,6,0.1111111111111111,0.1111111111111111,0.236146941781044,0.0174842718988657,0.0004442278004717082,0.13864313066005707,0.059044644236564636,-0.622612476348877,0.7213201522827148,0.18778474628925323,-0.5216833353042603,0.19184957444667816,-0.06172656640410423,-0.8431520462036133,-0.2950471043586731,0.29073044657707214,0.5548927783966064,0.16880762577056885,-0.12928640842437744,0.3923952877521515,0.14709502458572388,-0.12604106962680817,0.43850433826446533,0.11669524759054184,0.03100721165537834,-0.05565126985311508,0.17383630573749542,-0.24042122066020966,-0.043282244354486465,0.3757682740688324,-0.08299608528614044,-0.4559580981731415,0.657712459564209,-0.17257285118103027,-0.48486092686653137,-0.10901287943124771,-0.19779494404792786,-0.175135537981987,0.7819083333015442,0.17703749239444733,-0.2052953839302063,0.36566561460494995,-0.08641333132982254,0.04808848351240158,0.7048563957214355,0.21976901590824127,0.41889145970344543,0.07600083202123642,-0.16119585931301117,0.026212405413389206,-0.1377682387828827,0.1866033375263214,-0.010094042867422104,0.2606210708618164,0.11298403143882751,0.16053993999958038,-0.3189913034439087,0.25134599208831787,-0.2585698068141937,0.6565223336219788,0.00569925969466567,0.45981699228286743,-0.054307837039232254,0.26008790731430054,0.577157199382782,1.0119906663894653,Peripheral,Peripheral,0.03392544776618276
9,1,0.002881844380403458,0.0,0.15699247310702305,0.0007874229030140819,0.0,1,1,1.0,2,0.0,0,-0.6563924617405256,1,0.25,0.005366192984199543,0.002579667171961153,-1.000088900581841e-12,7,5,2.5714285714285716,0,0,1,6,0.0,0.2857142857142857,0.3597787916660309,0.48470425605773926,-0.21211275458335876,0.4349892735481262,0.32596805691719055,-0.11481014639139175,0.2111646831035614,-0.18757708370685577,-0.560753345489502,0.5057792067527771,0.42505863308906555,-0.5597137808799744,-0.29746124148368835,-0.5110569596290588,1.012879729270935,0.3049711287021637,-0.058638155460357666,-0.37670719623565674,0.1293438971042633,0.29471173882484436,0.7730048894882202,0.28312554955482483,-0.6643388271331787,0.04190418869256973,-0.04668436944484711,0.41785749793052673,0.50379478931427,0.08895266801118851,-0.2362399846315384,-0.5440079569816589,0.48388564586639404,-0.012953579425811768,-0.48083168268203735,-0.061778388917446136,-0.047508999705314636,-0.2980080842971802,0.33035844564437866,-0.8852300047874451,-0.3801088035106659,0.3131506145000458,-0.2898021936416626,-0.144384503364563,0.14733454585075378,0.08876745402812958,-0.05779490992426872,0.2967911958694458,-0.4794815480709076,0.13105368614196777,0.345790296792984,0.35434576869010925,-0.16254207491874695,0.3737262785434723,-0.13101902604103088,0.178855299949646,0.6174923777580261,-0.8307085037231445,0.31448662281036377,0.025009341537952423,0.31820446252822876,0.13105304539203644,0.41198107600212097,0.46751922369003296,0.6061426997184753,0.4970923364162445,Peripheral,Peripheral,0.021459867704460834
