from_id,to_id,weight,relation_type
0,22,6,operational
1,90,6,coordination
1,11,6,operational
2,104,3,operational
7,95,3,operational
8,72,4,operational
9,50,4,operational
10,95,5,operational
10,108,5,operational
11,22,4,operational
13,80,4,operational
13,88,4,operational
14,36,3,operational
14,26,3,operational
16,40,5,coordination
16,68,9,coordination
16,35,4,operational
16,100,6,operational
17,121,6,coordination
17,63,6,operational
18,24,11,hierarchical
18,31,13,hierarchical
18,40,12,hierarchical
18,61,13,hierarchical
18,68,10,hierarchical
18,69,13,hierarchical
18,78,10,hierarchical
18,89,13,hierarchical
18,90,10,hierarchical
18,98,11,hierarchical
18,117,14,hierarchical
18,121,12,hierarchical
18,122,13,hierarchical
18,72,8,hierarchical
18,67,9,hierarchical
18,109,11,hierarchical
18,140,16,hierarchical
18,474,17,hierarchical
18,240,16,hierarchical
18,358,13,hierarchical
21,69,6,coordination
21,121,8,coordination
21,26,4,operational
21,32,6,operational
22,61,6,coordination
22,89,5,coordination
22,121,7,coordination
24,42,13,hierarchical
24,72,8,coordination
24,46,6,coordination
25,74,5,operational
30,31,7,coordination
30,54,4,operational
30,81,3,operational
31,42,11,hierarchical
31,105,6,coordination
31,107,6,coordination
33,46,6,operational
37,109,6,operational
38,98,5,coordination
38,85,6,operational
38,120,4,operational
40,42,14,hierarchical
40,49,5,coordination
40,104,7,coordination
41,49,5,operational
42,61,12,hierarchical
42,68,10,hierarchical
42,69,11,hierarchical
42,78,13,hierarchical
42,89,12,hierarchical
42,90,12,hierarchical
42,98,10,hierarchical
42,117,13,hierarchical
42,121,14,hierarchical
42,122,12,hierarchical
42,88,10,hierarchical
42,67,10,hierarchical
42,80,9,hierarchical
42,140,14,hierarchical
42,358,17,hierarchical
42,240,13,hierarchical
43,49,6,operational
46,117,8,coordination
46,116,6,operational
49,69,7,coordination
50,78,6,coordination
51,67,6,operational
51,104,3,operational
54,65,5,operational
55,107,5,operational
57,89,6,coordination
57,117,8,coordination
57,118,5,operational
59,105,4,operational
61,62,6,coordination
61,88,7,coordination
62,89,9,coordination
62,122,6,coordination
62,85,3,operational
65,68,5,coordination
67,78,6,coordination
67,113,6,operational
68,72,8,coordination
69,80,6,coordination
70,82,5,operational
72,98,9,coordination
72,119,6,operational
76,108,3,operational
78,109,9,coordination
80,110,6,operational
82,98,9,coordination
88,122,6,coordination
88,113,4,operational
95,122,5,coordination
101,109,5,operational
108,117,7,coordination
112,118,3,operational
125,140,12,hierarchical
125,240,14,hierarchical
125,187,5,coordination
125,201,8,coordination
126,140,10,hierarchical
126,240,13,hierarchical
126,221,5,coordination
126,186,9,coordination
127,138,3,operational
127,200,4,operational
128,152,9,coordination
128,202,6,coordination
128,198,4,operational
129,140,13,hierarchical
129,240,11,hierarchical
129,131,5,coordination
129,197,6,coordination
129,132,6,coordination
131,173,7,coordination
131,196,5,operational
131,179,4,operational
132,177,5,coordination
132,165,6,operational
132,162,5,operational
133,197,6,operational
134,228,5,operational
136,140,12,hierarchical
136,240,10,hierarchical
136,221,6,coordination
137,157,5,operational
138,206,8,coordination
138,215,6,operational
139,174,9,coordination
139,234,6,coordination
139,248,7,coordination
139,184,5,operational
139,214,5,operational
140,141,14,hierarchical
140,152,10,hierarchical
140,155,11,hierarchical
140,159,11,hierarchical
140,161,14,hierarchical
140,173,10,hierarchical
140,174,13,hierarchical
140,177,12,hierarchical
140,178,10,hierarchical
140,202,11,hierarchical
140,206,14,hierarchical
140,212,14,hierarchical
