from_id,to_id,weight,relation_type
0,22,6,original
22,11,4,original
22,61,6,original
22,89,5,original
22,121,7,original
1,90,6,original
1,11,6,original
90,18,10,original
90,42,12,original
2,104,3,original
104,40,7,original
104,51,3,original
7,95,3,original
95,10,5,original
95,122,5,original
8,72,4,original
8,199,1,original
72,18,8,original
72,24,8,original
72,68,8,original
72,98,9,original
72,119,6,original
9,50,4,original
50,78,6,original
10,108,5,original
108,76,3,original
108,117,7,original
13,80,4,original
13,88,4,original
80,42,9,original
80,69,6,original
80,110,6,original
80,242,1,original
88,42,10,original
88,61,7,original
88,122,6,original
88,113,4,original
14,36,3,original
14,26,3,original
36,285,1,original
26,21,4,original
16,40,5,original
16,68,9,original
16,35,4,original
16,100,6,original
40,18,12,original
40,42,14,original
40,49,5,original
68,18,10,original
68,42,10,original
68,65,5,original
17,121,6,original
17,63,6,original
121,18,12,original
121,21,8,original
121,42,14,original
18,24,11,original
18,31,13,original
18,61,13,original
18,69,13,original
18,78,10,original
18,89,13,original
18,98,11,original
18,117,14,original
18,122,13,original
18,67,9,original
18,109,11,original
18,140,16,original
18,474,17,original
18,240,16,original
18,358,13,original
24,42,13,original
24,46,6,original
31,30,7,original
31,42,11,original
31,105,6,original
31,107,6,original
61,42,12,original
61,62,6,original
69,21,6,original
69,42,11,original
69,49,7,original
69,382,1,original
78,42,13,original
78,67,6,original
78,109,9,original
89,42,12,original
89,57,6,original
89,62,9,original
98,38,5,original
98,42,10,original
98,82,9,original
117,42,13,original
117,46,8,original
117,57,8,original
122,42,12,original
122,62,6,original
67,42,10,original
67,51,6,original
67,113,6,original
109,37,6,original
109,101,5,original
140,42,14,original
140,125,12,original
140,126,10,original
140,129,13,original
140,136,12,original
140,141,14,original
140,152,10,original
140,155,11,original
140,159,11,original
140,161,14,original
140,173,10,original
140,174,13,original
140,177,12,original
140,178,10,original
140,202,11,original
140,206,14,original
140,212,14,original
140,216,12,original
140,234,14,original
140,239,14,original
140,248,10,original
140,241,8,original
140,228,9,original
140,187,8,original
140,474,13,original
140,302,17,original
474,302,13,original
474,358,14,original
474,398,10,original
474,406,13,original
474,430,14,original
474,433,8,original
474,434,10,original
474,438,10,original
474,442,12,original
474,448,9,original
474,473,13,original
474,475,14,original
474,492,11,original
474,493,10,original
474,490,10,original
474,391,1,original
240,42,13,original
240,125,14,original
240,126,13,original
240,129,11,original
240,136,10,original
240,141,10,original
240,152,12,original
240,155,10,original
240,157,9,original
240,159,13,original
240,161,14,original
240,173,14,original
240,174,14,original
240,177,11,original
240,178,10,original
240,197,11,original
240,202,13,original
240,206,11,original
240,209,8,original
240,212,12,original
240,216,13,original
240,234,13,original
240,239,13,original
240,248,14,original
240,302,14,original
240,480,15,original
358,42,17,original
358,253,10,original
358,264,9,original
358,274,11,original
358,279,11,original
358,281,10,original
358,290,11,original
358,294,11,original
358,298,10,original
358,299,10,original
358,303,12,original
358,304,12,original
358,311,10,original
358,314,13,original
358,315,11,original
358,317,11,original
358,321,12,original
358,330,11,original
358,352,14,original
358,353,10,original
358,359,13,original
358,363,14,original
358,369,9,original
358,480,15,original
358,434,1,original
21,32,6,original
32,316,1,original
46,33,6,original
46,116,6,original
25,74,5,original
30,54,4,original
30,81,3,original
54,65,5,original
54,148,1,original
105,59,4,original
107,55,5,original
37,183,1,original
38,85,6,original
38,120,4,original
85,62,3,original
49,41,5,original
49,43,6,original
116,466,1,original
57,118,5,original
118,112,3,original
70,82,5,original
112,273,1,original
125,187,5,original
125,201,8,original
187,150,4,original
187,212,6,original
187,219,3,original
201,194,3,original
201,214,5,original
126,221,5,original
126,186,9,original
221,136,6,original
221,141,7,original
221,152,7,original
221,174,5,original
221,202,7,original
221,203,6,original
221,205,3,original
221,239,7,original
221,161,1,original
186,143,5,original
186,161,8,original
186,177,5,original
186,178,9,original
186,192,6,original
127,138,3,original
127,200,4,original
138,206,8,original
138,215,6,original
200,216,7,original
200,248,5,original
200,237,6,original
128,152,9,original
128,202,6,original
128,198,4,original
128,406,1,original
202,210,8,original
202,420,1,original
198,230,1,original
129,131,5,original
129,197,6,original
129,132,6,original
131,173,7,original
131,196,5,original
131,179,4,original
197,133,6,original
197,177,8,original
132,177,5,original
132,165,6,original
132,162,5,original
132,208,1,original
173,241,9,original
173,236,5,original
173,473,7,original
196,236,6,original
196,241,6,original
134,228,5,original
228,238,6,original
137,157,5,original
157,167,5,original
206,220,5,original
139,174,9,original
139,234,6,original
139,248,7,original
139,184,5,original
139,214,5,original
234,142,6,original
184,191,6,original
184,227,5,original
214,209,5,original
141,171,8,original
141,190,5,original
155,142,9,original
155,191,6,original
155,160,6,original
159,190,6,original
159,220,8,original
159,492,5,original
161,244,9,original
178,142,7,original
178,224,5,original
178,473,4,original
212,241,7,original
216,160,5,original
216,210,8,original
239,142,6,original
239,244,7,original
241,164,5,original
302,253,10,original
302,274,11,original
302,279,12,original
302,281,11,original
302,290,11,original
302,294,11,original
302,298,13,original
302,299,12,original
302,303,11,original
302,304,11,original
302,311,11,original
302,314,10,original
302,317,13,original
302,321,10,original
302,330,13,original
302,352,11,original
302,353,12,original
302,359,14,original
302,363,14,original
302,369,9,original
302,315,8,original
302,356,10,original
302,480,16,original
171,235,4,original
171,176,6,original
190,145,3,original
190,188,4,original
142,144,5,original
144,220,3,original
144,44,1,original
220,183,6,original
146,168,5,original
146,244,5,original
168,176,6,original
147,227,5,original
191,249,6,original
160,192,4,original
167,182,3,original
158,246,4,original
246,205,3,original
492,449,9,original
492,478,5,original
492,480,14,original
492,489,7,original
182,176,6,original
170,224,6,original
224,219,3,original
224,195,1,original
473,414,5,original
473,464,7,original
473,480,13,original
473,491,8,original
180,233,3,original
233,242,6,original
185,210,3,original
210,249,5,original
188,213,6,original
213,211,5,original
195,209,4,original
480,393,10,original
480,395,9,original
480,398,11,original
480,406,13,original
480,430,10,original
480,434,11,original
480,438,14,original
480,442,11,original
480,448,8,original
480,475,10,original
480,493,10,original
250,313,3,original
313,287,5,original
251,258,5,original
258,254,3,original
253,291,9,original
253,354,7,original
253,323,5,original
291,317,9,original
354,267,4,original
354,321,6,original
354,365,5,original
323,308,4,original
323,352,9,original
323,345,6,original
254,350,4,original
350,274,9,original
350,304,8,original
255,367,6,original
367,276,4,original
256,257,3,original
257,303,5,original
257,352,8,original
257,353,9,original
257,262,6,original
257,475,1,original
303,296,9,original
303,369,9,original
352,284,5,original
353,264,5,original
353,284,8,original
260,285,4,original
285,351,4,original
263,370,5,original
370,288,4,original
370,311,9,original
264,281,7,original
264,316,5,original
264,286,5,original
281,369,9,original
316,309,4,original
265,274,8,original
265,314,6,original
265,275,4,original
265,271,4,original
274,337,6,original
314,269,7,original
271,333,5,original
271,338,3,original
269,294,8,original
269,304,5,original
269,273,4,original
269,324,4,original
294,420,1,original
273,3,1,original
333,330,6,original
333,359,7,original
333,363,5,original
338,290,9,original
338,311,8,original
338,351,5,original
338,15,1,original
272,326,3,original
326,282,6,original
326,298,8,original
326,363,9,original
337,299,7,original
337,318,6,original
276,339,6,original
339,299,6,original
279,284,8,original
279,315,5,original
284,282,6,original
284,290,8,original
284,321,9,original
284,320,5,original
315,312,5,original
280,348,3,original
369,288,4,original
369,295,3,original
369,317,6,original
369,321,7,original
290,309,7,original
351,402,1,original
309,317,5,original
309,363,9,original
309,368,6,original
292,361,3,original
361,311,8,original
361,345,4,original
296,330,9,original
296,355,4,original
296,373,5,original
299,23,1,original
300,346,5,original
300,349,5,original
346,357,5,original
359,357,9,original
356,318,5,original
368,328,1,original
331,357,6,original
332,334,5,original
332,371,3,original
375,438,8,original
375,493,6,original
375,487,5,original
375,484,6,original
438,383,7,original
438,478,9,original
493,439,5,original
487,390,4,original
487,433,6,original
487,478,5,original
484,464,5,original
377,405,3,original
377,440,6,original
377,471,6,original
405,499,5,original
440,423,5,original
440,442,6,original
471,397,5,original
471,398,9,original
471,406,7,original
471,430,6,original
383,451,5,original
384,449,6,original
449,428,4,original
449,430,8,original
449,434,6,original
449,475,5,original
385,490,3,original
490,442,6,original
490,497,6,original
386,414,5,original
414,413,5,original
387,390,3,original
387,408,6,original
387,381,1,original
408,398,9,original
408,434,6,original
408,444,4,original
389,448,5,original
448,398,6,original
448,475,5,original
448,497,4,original
393,499,3,original
393,400,4,original
499,410,6,original
394,413,4,original
395,426,3,original
399,441,3,original
441,427,5,original
441,434,6,original
403,491,6,original
491,406,9,original
491,432,4,original
410,479,5,original
417,433,5,original
418,467,4,original
418,485,3,original
467,482,4,original
485,443,3,original
420,424,5,original
424,465,6,original
427,489,4,original
489,481,6,original
436,446,6,original
446,482,3,original
478,463,3,original
439,483,3,original
483,445,4,original
442,445,9,original
475,464,6,original
